vault,name,symbol,block_created,tx_hash,tvl,denomination_asset,policies,creator
0xe7a2e2df42114790006148247f93E13bf21Afe18,Jagodzianka,ENZF,25831738,0x08a4721b171233690251d95de91a688c7d2f18c2e82bedc0f86857b182e95a8c,0,WMATIC,0x86BfC81C6B35AbaE8Dd48632Ee5bCE4c5C643412 0x40ad9d6B2Ba28F1c6D1ED1158403021f7264394D,0x32EFEf8899b23899FF179B446eF7564E0De84Cba
0xfEc5Ef1A5e3e53637e4369bc599eEfEDA8A475d9,Drożdżówka,DRO,25924767,0x358d0b11c0d7ef9c8531f9c8e4d2f2c331870c803eb1917d07559b11b9585ecc,6.037839004571077509,WMATIC,0x7656970e350E79CE550DD3051d4014373371Df53 0xd2dBB1d5222200b94f4aEa2618D88cC33146987B 0x0aCfeb85b8Dc2DB3AA34F93151B7A494B84a99Bc,0x32EFEf8899b23899FF179B446eF7564E0De84Cba
0xCB76941C124C4161Efcfaf00ff9b6FEd654997Ca,Pim's Investments,PIM,25975583,0x54939f88f6913095e4d06fc28aa97f024b1f6b089891781f75f7b45b6b8e00ea,2.646479550382069655,WMATIC,0x561176cd43B958482d33DcD62A1EB437Bd7BFeF9,0xd594d4EC12d2C49F6a04870bB0485FB17C7634f3
0x0a9f92f39592ad4E5EAFe6Ae60385C245Af26747,Amokafre Capital,AMKFR,26003849,0xf3aaed2ae0d8e99a4bceb1793ff77e53ef0a3cac39b3225eeba4c882d3b54836,0.156859197944048553,WMATIC,0x7656970e350E79CE550DD3051d4014373371Df53 0x0aCfeb85b8Dc2DB3AA34F93151B7A494B84a99Bc 0x2cb6b222E17167629F75DE39dD13C0ba6D58f0Cf,0xd594d4EC12d2C49F6a04870bB0485FB17C7634f3
0xBdf7A07FDbD44AA00EEeb55e655c43FcCb932ab2,ZugDAO,ZDAO,26191606,0xfdd3de02968536c34137238924a048e37747244457428cc45966654dfdaa95df,7.058786,USDC,0xE1853502e2eA2b7C14C5E89169C63065f5A459fF 0x3B6913A8ED4595919A6b4A9022208ceDE20194BD,0x6B9c7bCd87aBE75F37393A94036319F99944a915
0xDC839A96748FE874621Adf004334207829818ee1,🦍 Degenzyme 🦧,DEGEN,26208185,0xe4d6716bdad84bc502bc27436d92f05f23413fc15271989390bcede4f9c7abcd,0,USDC,0xC1F7b231874E2f9B2c9d4ec701dC6F046Eab253a 0x713E7DaC3C237b71dd54a8718Ce21Ecd5D2Dc747,0xf6D6724f15BF59aE2a2F7e0CeF0bd6bf826400A6
0x27F95aF6f9971079A8928dA460410ae2D4422c28,Trident DeFi Innovation Vault,TDTD,26226611,0x02076ccf5863355cec07a0d21396096d346372d7dd2e35e193558184432b2ab7,12.481559,USDC,0x1332367C181F1157F751b160187DcAa219706bF2 0x9F856372F7Bd844dac0254c7859B117259b5c9D2 0x5A739da3099fd4fC954BD764099Fc000Da76D8e7 0xC0f49507c125a000e02ab58C22bE9764e2ABAB99,0xF08E8329204753283d64D1C41C33A40AbCEF245e
0x6Cde7C7cffBC974E86d5F0dD0FD0a209ae8F39Cb,🦍 Degenzyme 🦧,DEGEN,26226639,0x14359670ab45fb4bf1fb44cec890784160000d9e31c66d50ef0d457ab5d24939,31.795021,USDC,0x9F856372F7Bd844dac0254c7859B117259b5c9D2 0x5A739da3099fd4fC954BD764099Fc000Da76D8e7 0xC0f49507c125a000e02ab58C22bE9764e2ABAB99,0xf6D6724f15BF59aE2a2F7e0CeF0bd6bf826400A6
0x625f67048D72E838EFa797216AcE12E2f0C964ff,Trident Active Management,TDTA,26227109,0x7497e80ede44eebc3e59f0b588448db4e11637ab9dc1307a44043b38929d4f21,174.110343,USDC,0x1332367C181F1157F751b160187DcAa219706bF2 0x9F856372F7Bd844dac0254c7859B117259b5c9D2 0x5A739da3099fd4fC954BD764099Fc000Da76D8e7 0xC0f49507c125a000e02ab58C22bE9764e2ABAB99,0xF08E8329204753283d64D1C41C33A40AbCEF245e
0x44a39974C98222118fAF756aC23561020A4ca946,战斗机,BTC,26227566,0x242557c6e35918ff881ad40c2755c86769ac9ffbc39ba311c2ccd7a1f83dab49,0,WMATIC,0x1332367C181F1157F751b160187DcAa219706bF2 0x9F856372F7Bd844dac0254c7859B117259b5c9D2 0x5A739da3099fd4fC954BD764099Fc000Da76D8e7 0xC0f49507c125a000e02ab58C22bE9764e2ABAB99,0x851E1E798982CC7C02DA0149d26dC9e51aD508B5
