vault,name,symbol,block_created,tx_hash,tvl,denomination_asset,policies,creator
0x56feA418824C0a2A6cd4da630A6295cf5029bd91,Ammitto Pure Staking ,AMPS,16670917,0xecf9992f6a60bed0e3720b8adb6c6e164ec4a1f48f75a9c906a726d4ad07e514,5.781483,USDC,ALLOWED_DEPOSIT_RECIPIENTS ALLOWED_SHARES_TRANSFER_RECIPIENTS ALLOWED_ASSETS_FOR_REDEMPTION,0xb5183B5d0fBBF99de4CC571732Ec7e2ee235e699
0x689e73D04Db482ebaE768364DC77d9cC7b182E9c,XPN Test,tXPN,16682253,0xca5585d2b28152f57ffc5804458cea8e68c299746cc33c8e6e5022d49f882254,0,USDC,ALLOWED_ADAPTER_INCOMING_ASSETS ALLOWED_ADAPTERS_PER_MANAGER,0x874d2ee694be98e49AB439e07Bc41eC880198Ea5
0x44A5B698cd7a2A38f658A5Ec05541f4018224bA3,GrandLine Long-Term Strategy ,STRAW,16687095,0x29120e7d2ef63d7072a032e3cf560ee72eb4272207c73b5df5fcc1623f1d06d3,2556.553286,USDT,CUMULATIVE_SLIPPAGE_TOLERANCE ONLY_UNTRACK_DUST_OR_PRICELESS_ASSETS ALLOWED_EXTERNAL_POSITION_TYPES ONLY_REMOVE_DUST_EXTERNAL_POSITION,0x740D9dab14018C7E7a78915998E1Ba87324574EF
0xEef8F079D4149bE5125d5Fe36c7Be8810C02d6EF,CryptoIndex1,CI1,16689666,0x010bd307e69aa84791718293e08c231a96a0966a6eb3c6cb4c65b3902113bd21,99990.084324,USDT,,0x23d0004C5add2f3a7A0F6F01eb24b1ae14BC430E
0x5e1b67802FD12DA21D8c946f14E3cb126D2A2088,evault,ENZF3,16699785,0xddd42df83039936f949ce6caa16c4ea71b730e4cf3a571628fcc3d60829b8833,55394.176219,USDC,ALLOWED_ASSETS_FOR_REDEMPTION,0x763aCD5cbd9dE42A62453eFecB4407E3a547A0C6
0x770a6833848F9DE29e0C0fF036C2Ba005611eA1C,The Red Baron,TBR,16705163,0x8858cd9086ce0f37a8bc821cec21e75352fffd975979b4f46cd8a648a9752989,0,BUSD,,0xA0D0873326748c8003c9A11BA19b33dB4301A8e9
0xD528135bD19bA505013d21Ab51c58F2Cd92a8A35,Haze,Haze,16705363,0x62170ea5b582cc5aa0fefdd2c47853cf716d257d24455bb394749f6503f90af5,0,USDT,CUMULATIVE_SLIPPAGE_TOLERANCE,0x740922622811A8Fc1A5AF687aeFe6D5BBC460Be1
0x280D663971e3F88fBB2D5E1922707738E3529A96,DCRYPT FINANCE (Financial Advisor Switzerland),SWISS,16750487,0xa17f3c9a1bc37584f75931e8d99929ca1d3298cb102cb6fac36c476628cce4bc,0,USDC,MIN_MAX_INVESTMENT ALLOWED_ADAPTERS CUMULATIVE_SLIPPAGE_TOLERANCE ALLOWED_ASSETS_FOR_REDEMPTION,0xFd2173b694E7AB9EA51510D6A2C794725524b59C
0x01F58c1Be096d98691280972426706b7a28FCb17,Mothership,SHIP,16792134,0x3ec3ed4771eeb89e0f4bf59ecb498252d2e96b730c6238724c502097779f2e69,0,WETH,CUMULATIVE_SLIPPAGE_TOLERANCE ONLY_UNTRACK_DUST_OR_PRICELESS_ASSETS ALLOWED_EXTERNAL_POSITION_TYPES ONLY_REMOVE_DUST_EXTERNAL_POSITION,0x948E52327f2706c2625d12c452514C7E5F6703fA
0x846C6137923D5F3Ad187bb5804a126be91D3D2F0,BasedQuantix,QHANT,16812071,0x4fd3aa8766061df3c5a696e957dbd4de605e52719d5b70a4ff171f21479ed929,0,USDT,CUMULATIVE_SLIPPAGE_TOLERANCE ONLY_UNTRACK_DUST_OR_PRICELESS_ASSETS ONLY_REMOVE_DUST_EXTERNAL_POSITION,0x119C05e7A25A2Ef354a57fd0aefb091ee4462b53
0xB8dAD2A09369e8Aba187F6ee7b4012ffc0f9f67B,CZ1,CZ1,16845608,0x8343727bc91844a1cdf65eab55f41475794c5f563615be772979dacdda76c4db,0,DAI,ALLOWED_DEPOSIT_RECIPIENTS ALLOWED_SHARES_TRANSFER_RECIPIENTS,0xFE0fE958cB1d3d91f4B34c38cd58434ea550CD55
0xC276ae4804DD240e7966b01d9882f8E45c1250DA,Robben Island,DEFI,16847461,0x735c765f47be545f222be2fb00078b7cdbf63ad9a291c38fa1a77da6811b6324,0,USDC,ALLOWED_DEPOSIT_RECIPIENTS ALLOWED_SHARES_TRANSFER_RECIPIENTS,0xa3A18c77Eb6ecABF74185c3AfCaE2e8bdF4a9C06
0x5a5dF79ca6bD8261c1De3A0D08Bf97984FBB1D2C,ETF1,ETF1,16919254,0xbab09183d52bc534af5df182f27ed3ec192ae9233bcb93e49fb935e678b7f57e,0,USDC,ALLOWED_DEPOSIT_RECIPIENTS ALLOWED_SHARES_TRANSFER_RECIPIENTS,0xff33bDfFD4510D9AC75938cBb75040894C7585c9
0x720f90F7f09f718DcA74F3902dfb4a5D251f0d13,humblehedge.finance,HHF,16922108,0x02adb0a780c447157112fe964788160579ddb4a1458fa5fb999c33385a68225b,0,DAI,CUMULATIVE_SLIPPAGE_TOLERANCE ONLY_UNTRACK_DUST_OR_PRICELESS_ASSETS ONLY_REMOVE_DUST_EXTERNAL_POSITION,0x5a9A7b3d5cB42318a70187cFb388D6BfC83F0f45
0x0CC9C5D100c4a6e24b96B0b77C687045822a0FA8,test,test,16926200,0x73597a2c2967c7f5c27cb35e37c59f62e6ab11dec7a2aeaa51659594b162f7d4,0,AAVE,CUMULATIVE_SLIPPAGE_TOLERANCE ALLOWED_ASSETS_FOR_REDEMPTION ONLY_UNTRACK_DUST_OR_PRICELESS_ASSETS ONLY_REMOVE_DUST_EXTERNAL_POSITION,0xC944141AcfDE3e226e596036FE2Ba804252978F2
0x32C0d85736ec6ffB210ebF02F4D8F5391429aB43,Beef Tendon ,BEEF,16944659,0x8a2f2d9c24c583e7a83aed75712a24dcb194d0bff6f2000d9c6c4dbbd46aaa09,28956.468205,USDT,,0xa610023922c6c535eC4FcE5C0462476867D59842
0x9d4C5E00c47de8F789A2Ba971c37279c5188A891,Butter x Aave Vault [AAVE],bAAVE,16990415,0xeefdf0a24317a80e1ed791fb0de7332a9a2e0a9642ed5b5ee1588231f1ff5151,5.002863879772315684,AAVE,ALLOWED_ADAPTER_INCOMING_ASSETS ALLOWED_ADAPTERS CUMULATIVE_SLIPPAGE_TOLERANCE ONLY_UNTRACK_DUST_OR_PRICELESS_ASSETS ALLOWED_EXTERNAL_POSITION_TYPES ONLY_REMOVE_DUST_EXTERNAL_POSITION,0xbFc52a18D33d301e8D1960acA3b482CF5A5A4dFF
0x066b5139C1335d159F823f2Bbc0D55Fc270CCfcB,Butter x Aave Vault [stkAAVE],bstkA,16990583,0xcf77fba666bd35b99d735907238ec3e1adb8c9573a122e1a5b371b375a03bedd,0.143178252511992348,stkAAVE,ALLOWED_ADAPTER_INCOMING_ASSETS ALLOWED_ADAPTERS CUMULATIVE_SLIPPAGE_TOLERANCE ONLY_UNTRACK_DUST_OR_PRICELESS_ASSETS ALLOWED_EXTERNAL_POSITION_TYPES ONLY_REMOVE_DUST_EXTERNAL_POSITION,0xbFc52a18D33d301e8D1960acA3b482CF5A5A4dFF
